一 [jat1]
裏 [lei5]
裙 [kwan4]
補 [bou2]
裝 [zong1]
裡 [leoi5]
裳 [soeng4]
裸 [lo2]
製 [zai3]
複 [fuk1]
褒 [bou1]
褲 [fu3]
襯 [can3]
襲 [zaap6]
西 [sai1]
要 [jiu3]
覆 [fuk1]
見 [gin3]
規 [kwai1]
視 [si6]
親 [can1]
覺 [gok3]
觀 [gun1]
角 [gok3]
解 [gaai2]
言 [jin4]
訂 [deng6]
計 [gai3]
訊 [seon3]
討 [tou2]
記 [gei3]
訪 [fong2]
設 [cit3]
許 [heoi2]
訴 [sou3]
診 [can2]
証 [zing3]
評 [ping4]
詞 [ci4]
詢 [seon1]
試 [si3]
話 [waa6]
該 [goi1]
誇 [kwaa1]
認 [jing6]
語 [jyu5]
誠 [sing4]
說 [syut3]
誰 [seoi4]
課 [fo3]
調 [diu6]
談 [taam4]
請 [cing2]
論 [leon6]
諗 [lam2]
諧 [haai4]
諱 [wai5]
諷 [fung3]
諸 [zyu1]
諾 [nok6]
謀 [mau4]
謂 [wai6]
謔 [joek6]
謙 [him1]
講 [gong2]
謝 [ze6]
謬 [mau6]
謹 [gan2]
謾 [maan4]
證 [zing3]
識 [sik1]
譚 [taam4]
警 [ging2]
議 [ji5]
護 [wu6]
讀 [duk6]
變 [bin3]
讓 [joeng6]
讚 [zaan3]
谷 [guk1]
豁 [kut3]
豆 [dau6]
豈 [hei2]
豐 [fung1]
象 [zoeng6]
豪 [hou4]
豬 [zyu1]
貓 [maau1]
貝 [bui3]
負 [fu6]
財 [coi4]
貨 [fo3]
貪 [taam1]
責 [zaak3]
貴 [gwai3]
貶 [bin2]
買 [maai5]
費 [fai3]
貼 [tip3]
賀 [ho6]
資 [zi1]
賓 [ban1]
賞 [soeng2]
賠 [pui4]
賢 [jin4]
賣 [maai6]
賤 [zin6]
質 [zat1]
賬 [zoeng3]
賭 [dou2]
賺 [zaan6]
購 [kau3]
賽 [coi3]
贏 [jeng4]
走 [zau2]
起 [hei2]
趁 [can3]
超 [ciu1]
越 [jyut6]
趕 [gon2]
趣 [ceoi3]
趨 [ceoi1]
足 [zuk1]
跌 [dit3]
跑 [paau2]
距 [keoi5]
跟 [gan1]
跨 [kwaa1]
跪 [gwai6]
路 [lou6]
跳 [tiu3]
踏 [daap6]
蹤 [zung1]
蹭 [sang3]
蹲 [cyun4]
躍 [joek3]
身 [san1]
躬 [gung1]
躲 [do2]
躺 [tong2]
車 [ce1]
軌 [gwai2]
軍 [gwan1]
軟 [jyun5]
軸 [zuk6]
較 [gaau3]
載 [zoi3]
輕 [hing1]
輛 [loeng6]
輝 [fai1]
輩 [bui3]
輪 [leon4]
輸 [syu1]
輾 [zin2]
轉 [zyun2]
轟 [gwang1]
辣 [laat6]
辦 [baan6]
辨 [bin6]
辭 [ci4]
辰 [san4]
辱 [juk6]
農 [nung4]
迎 [jing4]
近 [gan6]
返 [faan2]
迪 [dik6]
迫 [bik1]
述 [seot6]
迷 [mai4]
迹 [zik1]
追 [zeoi1]
退 [teoi3]
送 [sung3]
逃 [tou4]
逆 [jik6]
透 [tau3]
逐 [zuk6]
途 [tou4]
逗 [dau6]
這 [ze5]
通 [tung1]
逛 [gwaang6]
逝 [sai6]
速 [cuk1]
造 [zou6]
連 [lin4]
週 [zau1]
進 [zeon3]
逼 [bik1]
逾 [jyu4]
遂 [seoi6]
遇 [jyu6]
遊 [jau4]
運 [wan6]
過 [gwo3]
道 [dou6]
達 [daat6]
遛 [lau4]
遠 [jyun5]
適 [sik1]
遭 [zou1]
遮 [ze1]
遲 [ci4]
遵 [zeon1]
遷 [cin1]
選 [syun2]
遺 [wai4]
避 [bei6]
邀 [jiu1]
還 [waan4]
邊 [bin1]
那 [naa5]
部 [bou6]
郵 [jau4]
都 [dou1]
鄉 [hoeng1]
鄧 [dang6]
鄭 [zeng6]
鄰 [leon4]
配 [pui3]
酒 [zau2]
醉 [zeoi3]
醋 [cou3]
醒 [sing2]
醜 [cau2]
醞 [wan3]
醫 [ji1]
醬 [zoeng3]
釀 [joeng6]
釁 [jan3]
釋 [sik1]
里 [leoi5]
重 [cung4]
野 [je5]
量 [loeng6]
金 [gam1]
針 [zam1]
鈴 [ling4]
鉛 [jyun4]
銀 [ngan4]
銅 [tung4]
銘 [ming4]
銜 [haam4]
銷 [siu1]
鋒 [fung1]
鋸 [geoi3]
鋼 [gong3]
錄 [luk6]
錢 [cin2]
錫 [sek3]
錯 [co3]
錶 [biu1]
鍋 [wo1]
鎊 [bong2]
鎚 [ceoi4]
鏈 [lin2]
鏟 [caan2]
鏡 [geng3]
鐘 [zung1]
鐵 [tit3]
鑑 [gaam3]
鑰 [joek6]
鑽 [zyun3]
長 [coeng4]
門 [mun4]
閃 [sim2]
閉 [bai3]
開 [hoi1]
閒 [haan4]
間 [gaan1]
閱 [jyut6]
閹 [jim1]
闆 [baan2]
關 [gwaan1]
阪 [baan2]
防 [fong4]
阻 [zo2]
阿 [aa3]
附 [fu6]
降 [gong3]
限 [haan6]
院 [jyun2]
陣 [zan6]
除 [ceoi4]
陪 [pui4]
陰 [jam1]
陳 [can4]
陷 [ham6]
陸 [luk6]
陽 [joeng4]
隊 [deoi6]
階 [gaai1]
隔 [gaak3]
際 [zai3]
障 [zoeng3]
隨 [ceoi4]
險 [him2]
隱 [jan2]
隻 [zek3]
雀 [zoek3]
雄 [hung4]
集 [zaap6]
雖 [seoi1]
雙 [soeng1]
雜 [zaap6]
雞 [gai1]
離 [lei4]
難 [naan4]
雨 [jyu5]
雪 [syut3]
雲 [wan4]
零 [ling4]
雷 [leoi4]
電 [din6]
需 [seoi1]
震 [zan3]
霜 [soeng1]
露 [lou6]
霸 [baa3]
靈 [ling4]
青 [cing1]
靚 [leng3]
靜 [zing6]
非 [fei1]
靠 [kaau3]
面 [min6]
革 [gaak3]
鞋 [haai4]
鞠 [guk1]
音 [jam1]
韻 [wan5]
響 [hoeng2]
頁 [jip6]
頂 [ding2]
項 [hong6]
順 [seon6]
須 [seoi1]
預 [jyu6]
頒 [baan1]
頗 [po1]
領 [ling5]
頭 [tau4]
頴 [wing6]
頻 [pan4]
顆 [fo2]
題 [tai4]
額 [ngaak6]
顏 [ngaan4]
願 [jyun6]
類 [leoi6]
顧 [gu3]
顫 [zin3]
顯 [hin2]
風 [fung1]
飆 [biu1]
飛 [fei1]
食 [sik6]
飯 [faan6]
飲 [jam2]
飽 [baau2]
飾 [sik1]
餅 [beng2]
餐 [caan1]
餓 [ngo6]
餘 [jyu4]
館 [gun2]
首 [sau2]
香 [hoeng1]
馬 [maa5]
駁 [bok3]
駐 [zyu3]
駕 [gaa3]
駛 [sai2]
騎 [ke4]
騙 [pin3]
騷 [sou1]
驊 [waa4]
驕 [giu1]
驗 [jim6]
驚 [ging1]
骨 [gwat1]
髀 [bei2]
體 [tai2]
高 [gou1]
髮 [faat3]
鬆 [sung1]
鬚 [sou1]
鬥 [dau3]
鬧 [naau6]
鬼 [gwai2]
魂 [wan4]
魔 [mo1]
魚 [jyu4]
鮮 [sin1]
鯨 [king4]
鳥 [niu5]
鳩 [gau1]
鳴 [ming4]
鴨 [ngaap3]
鹹 [haam4]
鹽 [jim4]
麗 [lai6]
麥 [mak6]
麵 [min6]
麻 [maa4]
麼 [mo1]
黃 [wong4]
黎 [lai4]
黏 [nim1]
黑 [hak1]
默 [mak6]
點 [dim2]
黨 [dong2]
鼎 [ding2]
鼓 [gu2]
齊 [cai4]
齡 [ling4]
龍 [lung4]
龐 [pong4]
